α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
         -7.8,     -0.348713,           -8,    -0.3453292,           -8,    -0.3451387,           -8,    -0.3498411,           -8,    -0.3468971,           -8,    -0.3486018,           -8,    -0.3556814,           -8,    -0.3503486,           -8,    -0.3486635,
         -7.6,    -0.3467535,         -7.8,    -0.3437924,         -6.6,    -0.3021836,         -7.6,     -0.343262,         -7.8,    -0.3452765,         -7.8,    -0.3475192,         -7.8,     -0.350173,         -7.8,    -0.3426481,         -7.8,    -0.3350796,
         -7.4,    -0.3513394,         -7.6,    -0.3434358,         -6.2,    -0.2581628,         -7.4,    -0.3422411,         -7.6,    -0.3449146,         -6.8,    -0.2978583,         -7.6,    -0.3340668,         -7.6,    -0.3269669,         -7.6,    -0.3201465,
         -7.2,    -0.3514486,         -7.4,    -0.3438104,           -6,    -0.2385691,         -7.2,    -0.3389335,         -6.8,    -0.2953417,         -6.6,    -0.2864061,         -7.4,    -0.3213707,         -7.4,    -0.3194142,         -7.4,    -0.3151915,
         -6.8,    -0.3414617,         -6.8,    -0.3430443,         -5.8,    -0.2197167,           -7,    -0.3214318,         -6.6,    -0.2824738,         -6.4,    -0.2734613,         -7.2,    -0.3127772,         -7.2,    -0.3131781,         -7.2,    -0.3123387,
         -6.6,    -0.3406829,         -6.6,    -0.3344071,         -5.6,    -0.2011691,         -6.4,    -0.2690865,         -6.2,    -0.2554984,         -6.2,    -0.2589594,           -7,    -0.3094425,           -7,    -0.3101521,           -7,    -0.3118889,
         -6.4,     -0.341201,         -6.4,    -0.3126896,         -5.4,    -0.1825556,         -6.2,    -0.2529359,           -6,    -0.2400379,           -6,    -0.2430625,         -6.8,    -0.2998784,         -6.8,    -0.3007524,         -6.8,    -0.3014216,
         -6.2,    -0.3435591,           -6,    -0.2629312,         -5.2,     -0.163015,           -6,    -0.2366398,         -5.8,    -0.2236977,         -5.8,    -0.2262108,         -6.6,    -0.2888406,         -6.6,    -0.2898146,         -6.2,    -0.2638227,
           -6,    -0.3463978,         -5.8,     -0.238921,           -5,    -0.1425672,         -5.8,    -0.2198886,         -5.6,    -0.2067432,         -5.6,    -0.2099333,         -6.4,    -0.2760668,         -6.2,    -0.2632536,           -6,    -0.2476923,
         -5.8,    -0.3501673,         -5.6,    -0.2149504,         -4.8,     -0.121541,         -5.6,    -0.2026067,         -5.4,    -0.1885955,         -5.4,    -0.1920773,           -6,    -0.2478641,           -6,    -0.2475037,         -5.8,    -0.2316178,
         -5.6,    -0.3245635,         -5.4,    -0.1916944,         -4.6,    -0.1001225,         -5.4,    -0.1848061,         -5.2,    -0.1690692,         -5.2,    -0.1718223,         -5.8,     -0.231865,         -5.6,    -0.2144091,         -5.6,    -0.2149821,
         -5.4,     -0.295285,         -5.2,    -0.1684559,         -4.4,   -0.07932365,         -5.2,    -0.1656957,           -5,    -0.1486197,         -4.8,     -0.129917,         -5.6,    -0.2137834,         -5.4,    -0.1948193,         -5.4,    -0.1955675,
         -5.2,    -0.2673905,           -5,    -0.1459271,         -4.2,   -0.05806232,           -5,     -0.145563,         -4.8,    -0.1276984,         -4.6,    -0.1085695,         -5.4,    -0.1940714,         -5.2,    -0.1742612,         -5.2,     -0.174864,
