α (°), E174 / T1-Re0.050-N5.0, α (°), E174 / T1-Re0.100-N5.0, α (°), E174 / T1-Re0.150-N5.0, α (°), E174 / T1-Re0.200-N5.0, α (°), E174 / T1-Re0.250-N5.0, α (°), E174 / T1-Re0.300-N5.0, α (°), E174 / T1-Re0.350-N5.0, α (°), E174 / T1-Re0.375-N5.0, α (°), E174 / T1-Re0.400-N5.0, 
         -7.8,    0.09721188,           -8,    0.09321014,           -8,    0.09076907,           -8,    0.08860733,           -8,    0.08833472,           -8,     0.0873533,           -8,    0.08478754,           -8,    0.08626158,           -8,    0.08667299,
         -7.6,    0.09487557,         -7.8,    0.09061059,         -6.6,    0.06518616,         -7.6,    0.08371173,         -7.8,     0.0854334,         -7.8,    0.08431663,         -7.8,    0.08147173,         -7.8,    0.08237319,         -7.8,    0.08287542,
         -7.4,    0.09296997,         -7.6,    0.08804198,         -6.2,    0.05133206,         -7.4,    0.08129484,         -7.6,    0.08254658,         -6.8,    0.05929231,         -7.6,    0.07713035,         -7.6,     0.0776502,         -7.6,    0.07888936,
         -7.2,    0.09051684,         -7.4,    0.08555792,           -6,    0.04696279,         -7.2,    0.07852923,         -6.8,    0.06352206,         -6.6,    0.05633171,         -7.4,    0.07314812,         -7.4,    0.07401146,         -7.4,     0.0758632,
         -6.8,     0.0817903,         -6.8,    0.07505465,         -5.8,     0.0421797,           -7,    0.07411513,         -6.6,    0.06001168,         -6.4,    0.05256652,         -7.2,    0.06926125,         -7.2,    0.07052435,         -7.2,    0.07297297,
         -6.6,    0.07835792,         -6.6,    0.06985077,         -5.6,    0.03711268,         -6.4,    0.05324274,         -6.2,     0.0439435,         -6.2,    0.04815748,           -7,      0.064708,           -7,    0.06550712,           -7,    0.06513985,
         -6.4,    0.07547208,         -6.4,    0.06606524,         -5.4,    0.03209893,         -6.2,    0.04935963,           -6,    0.03973483,           -6,    0.04305684,         -6.8,    0.06197994,         -6.8,    0.06262722,         -6.8,    0.06310523,
         -6.2,    0.07258305,           -6,     0.0532793,         -5.2,     0.0277875,           -6,    0.04487313,         -5.8,    0.03490537,         -5.8,    0.03706798,         -6.6,    0.05843842,         -6.6,    0.05891472,         -6.2,    0.04187812,
           -6,     0.0704803,         -5.8,     0.0483312,           -5,    0.02457888,         -5.8,     0.0398592,         -5.6,     0.0294551,         -5.6,    0.02745933,         -6.4,    0.05415508,         -6.2,    0.04020646,           -6,    0.03611169,
         -5.8,    0.06748968,         -5.6,     0.0431174,         -4.8,     0.0220971,         -5.6,    0.03427431,         -5.4,    0.02467413,         -5.4,    0.02063547,           -6,    0.03197259,           -6,    0.03450824,         -5.8,    0.02893443,
         -5.6,    0.06286816,         -5.4,    0.03806922,         -4.6,    0.02003164,         -5.4,    0.02828473,         -5.2,    0.02122051,         -5.2,     0.0186603,         -5.8,    0.02592475,         -5.6,    0.02189466,         -5.6,    0.02190135,
         -5.4,    0.05684806,         -5.2,    0.03358321,         -4.4,    0.01941642,         -5.2,    0.02406391,           -5,    0.01888251,         -4.8,    0.01613693,         -5.6,    0.02166251,         -5.4,    0.01879753,         -5.4,    0.01851314,
         -5.2,    0.05220818,           -5,     0.0304532,         -4.2,    0.01854154,           -5,     0.0213752,         -4.8,    0.01723238,         -4.6,    0.01519194,         -5.4,     0.0189618,         -5.2,    0.01688807,         -5.2,    0.01657219,
           -5,    0.04742506,         -4.8,    0.02785774,           -4,    0.01764403,         -4.8,    0.01944016,         -4.6,    0.01606533,         -4.4,    0.01437913,         -5.2,    0.01715293,           -5,     0.0155564,           -5,    0.01525818,
         -4.8,    0.04301178,         -4.6,     0.0258604,         -3.8,    0.01677628,         -4.6,    0.01788553,         -4.4,    0.01536737,         -4.2,     0.0137026,           -5,    0.01587296,         -4.8,    0.01457088,         -4.8,    0.01427427,
         -4.6,     0.0393141,         -4.4,    0.02394831,         -3.6,    0.01603774,         -4.4,    0.01667167,         -4.2,     0.0147237,           -4,    0.01320632,         -4.8,    0.01483178,         -4.6,    0.01376062,         -4.6,    0.01352196,
         -4.4,    0.03637274,           -4,    0.02086864,         -3.4,    0.01542136,         -4.2,    0.01601258,           -4,    0.01407346,         -3.8,    0.01278108,         -4.6,     0.0141175,         -4.4,    0.01316288,         -4.4,    0.01285635,
         -4.2,    0.03344639,         -3.8,    0.01982978,         -3.2,    0.01495054,           -4,    0.01544525,         -3.8,    0.01366813,         -3.6,    0.01243132,         -4.4,    0.01356565,         -4.2,    0.01271237,         -4.2,    0.01240907,
           -4,    0.03128878,         -3.6,    0.01904348,           -3,    0.01450863,         -3.8,    0.01502837,         -3.6,    0.01331623,         -3.4,    0.01216274,         -4.2,    0.01303761,           -4,    0.01228469,           -4,    0.01201921,
         -3.8,    0.02928677,         -3.4,    0.01834844,         -2.6,    0.01368467,         -3.6,    0.01446127,         -3.4,    0.01293624,         -3.2,    0.01184742,           -4,    0.01255736,         -3.8,    0.01188991,         -3.8,    0.01166683,
         -3.6,    0.02779605,         -3.2,    0.01764356,         -2.4,    0.01333333,         -3.4,    0.01391117,         -3.2,    0.01252736,           -3,    0.01153162,         -3.8,    0.01213176,         -3.6,    0.01155923,         -3.6,    0.01132048,
         -3.4,    0.02639243,           -3,    0.01704832,         -2.2,    0.01298323,         -3.2,    0.01346792,           -3,    0.01218529,         -2.8,    0.01123662,         -3.6,    0.01180371,         -3.4,    0.01129611,         -3.4,     0.0110578,
         -3.2,    0.02530196,         -2.8,    0.01649366,           -2,    0.01265779,           -3,     0.0130928,         -2.8,    0.01187882,         -2.6,    0.01098895,         -3.4,    0.01154813,         -3.2,    0.01106438,         -3.2,    0.01084615,
           -3,    0.02431138,         -2.6,    0.01598724,         -1.8,    0.01231835,         -2.8,    0.01277079,         -2.6,    0.01160099,         -2.4,    0.01076822,         -3.2,    0.01129244,           -3,    0.01081567,           -3,    0.01061064,
         -2.8,    0.02345948,         -2.4,      0.015504,         -1.6,    0.01196692,         -2.6,    0.01242894,         -2.4,    0.01135337,         -2.2,    0.01056185,           -3,    0.01101096,         -2.8,    0.01054489,         -2.8,     0.0103554,
         -2.6,    0.02265514,         -2.2,    0.01502263,         -1.4,     0.0115872,         -2.4,    0.01214262,         -2.2,    0.01110895,           -2,     0.0103505,         -2.8,    0.01075996,         -2.6,    0.01032006,         -2.6,    0.01014581,
         -2.4,    0.02183109,           -2,     0.0145574,         -1.2,    0.01115781,         -2.2,    0.01186123,           -2,    0.01087769,         -1.8,    0.01015074,         -2.6,    0.01052334,         -2.4,      0.010123,         -2.4,   0.009964382,
         -2.2,    0.02092881,         -1.8,    0.01408198,           -1,    0.01073368,           -2,    0.01159006,         -1.8,    0.01066465,         -1.6,   0.009957394,         -2.4,    0.01030952,         -2.2,   0.009954659,         -2.2,   0.009776123,
           -2,    0.01996285,         -1.6,    0.01357591,         -0.8,    0.01033578,         -1.8,     0.0113355,         -1.6,    0.01041809,         -1.4,   0.009729451,         -2.2,     0.0101332,           -2,   0.009769623,           -2,   0.009607954,
         -1.8,    0.01904495,         -1.4,    0.01304348,         -0.6,    0.01020915,         -1.6,    0.01104987,         -1.4,    0.01017296,         -1.2,   0.009500788,           -2,   0.009956669,         -1.8,   0.009583482,         -1.8,   0.009437261,
         -1.6,    0.01822285,         -1.2,    0.01252441,         -0.4,    0.01028818,         -1.4,    0.01075392,         -1.2,   0.009916306,           -1,   0.009258639,         -1.8,   0.009753279,         -1.6,   0.009408133,         -1.6,   0.009278043,
